,Unnamed: 0,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year
0,0,Limp Bizkit,Rollin' (Air Raid Vehicle),3IV4swNduIRunHREK80owz,73,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,213760,4,2000
1,1,Limp Bizkit,My Way,2gSVKxPDww9Eep5rdvtdem,69,0.576,0.864,6,-3.981,1,0.0462,0.02,1.68e-06,0.683,0.609,97.225,272973,4,2000
2,2,Limp Bizkit,Take A Look Around,2avKuMN2QXkaG9vvHa2JLt,71,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,321040,4,2000
3,3,Eminem,Bitch Please II,7lgvU7WnwcNZ8dbGUz8yhP,70,0.918,0.586,1,-2.89,1,0.133,0.0783,0.0,0.145,0.779,95.517,288200,4,2000
4,4,Ja Rule,Put It On Me,0OvwzS8FX73Bw7ykMRmffU,62,0.831,0.79,1,-4.714,0,0.165,0.0024,0.0,0.0515,0.791,93.14,262827,4,2000
5,5,Three 6 Mafia,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),2EduiM2UNwjCC7PsLxnOCH,57,0.944,0.84,11,-4.141,1,0.108,0.00922,0.0,0.0921,0.89,136.019,261973,4,2000
6,6,Cypress Hill,(Rock) Superstar (feat. Chino Moreno & Everlast),5hYr8yRbQLFE20oS7Mi3T2,60,0.795,0.762,2,-6.972,1,0.261,0.0142,9.75e-06,0.064,0.722,94.223,276867,4,2000
7,7,Limp Bizkit,Hot Dog,6Zj3YsYfj8YTY9aGMDnpn8,61,0.6,0.938,1,-3.615,1,0.0701,0.00152,1.48e-05,0.369,0.597,101.183,230240,4,2000
8,8,Ice Cube,Hello,60uesDF4UyLUs61FgiDkdp,61,0.903,0.61,10,-6.176,0,0.339,0.155,0.0,0.389,0.627,91.46,232533,4,2000
9,9,Ja Rule,Between Me & You,4xwRtK6tfMp4yZwcDvY0gT,53,0.818,0.883,0,-4.547,1,0.0695,0.0202,0.000767,0.243,0.405,93.67,250173,4,2000
10,10,M.O.P.,"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",5osSw3tL07Tuid7AWsvYcc,61,0.68,0.894,1,-4.86,1,0.255,0.0206,0.0,0.462,0.803,94.089,247693,4,2000
11,11,Ice Cube,You Can Do It,4NTn0Yo8hTGW5tbBANBzfh,59,0.947,0.853,1,-4.489,0,0.164,0.000931,0.0,0.0502,0.887,99.887,259088,4,2000
12,12,Limp Bizkit,My Generation,6holGuk1jKHTdWyWBOZi8l,64,0.458,0.978,11,-2.389,1,0.191,0.00231,2.12e-06,0.111,0.342,104.012,221000,4,2000
13,13,Snoop Dogg,Lay Low,0YHI5hydPPth6J5UOzdLDX,59,0.87,0.653,0,-4.353,1,0.326,0.151,0.0,0.303,0.755,94.84,223000,4,2000
14,14,Big Tymers,#1 Stunna,7kBdenpTmgWfAz9clmBcok,50,0.552,0.842,8,-4.961,1,0.285,0.0176,0.00327,0.258,0.561,89.017,281960,4,2000
15,15,Bow Wow,Shortie Like Mine (feat. Chris Brown & Johntá Austin),4F55RCGuM477OjznpYGhYz,47,0.763,0.629,7,-8.66,0,0.225,0.0891,0.0,0.169,0.709,142.149,267507,4,2000
16,16,Xzibit,"Alkaholik (feat. Erik Sermon, J Ro & Tash)",2jKoVlU7VAmExKJ1Jh3w9P,57,0.893,0.514,11,-5.08,1,0.283,0.18,0.0,0.0596,0.787,95.848,219160,4,2000
17,17,Ice Cube,Until We Rich,6l3b8BOBDRDM1ne9fpOygz,54,0.877,0.781,0,-5.355,1,0.0631,0.0437,0.0,0.0875,0.873,89.683,254707,4,2000
18,18,DJ Quik,Pitch In OnA Party,2hyyA7U1m1pFlZcEyl91jH,51,0.928,0.529,6,-6.602,1,0.253,0.0548,0.0,0.0701,0.567,106.364,247120,4,2000
19,19,Limp Bizkit,Livin' It Up,0QepvU0N2fC2B5uIPafO1q,56,0.506,0.928,8,-2.896,1,0.186,0.00387,0.00246,0.279,0.432,100.376,264040,4,2000
20,20,Shyne,Bonnie & Shyne (feat. Barrington Levy),0UmIdWRGDL5gkXnqG9ZozM,47,0.855,0.874,10,-4.018,0,0.21,0.0363,0.0216,0.0869,0.861,89.449,257467,4,2000
21,21,Bone Thugs-N-Harmony,Weed Song,4gLro52WoEK40Y7CZn6mIK,50,0.846,0.357,6,-10.529,1,0.0571,0.514,0.0,0.389,0.608,100.567,249707,3,2000
22,22,Limp Bizkit,Rollin' (Urban Assault Vehicle),3nsxMrnYlfBNotHRevTRgM,53,0.589,0.884,7,-4.918,1,0.324,0.0451,0.0,0.0904,0.439,90.036,382827,4,2000
23,23,Trick Daddy,"Shut Up (feat. Duece Poppito of 24 Karatz, Trina, & Co of Tre +)",66MsAs4nVj68t6va1lygIm,41,0.792,0.733,11,-5.71,0,0.389,0.00676,0.0,0.29,0.653,144.857,262787,4,2000
24,24,Limp Bizkit,Boiler,1a3RarhRdrNSTEEERYEFJn,54,0.443,0.722,6,-6.326,1,0.0865,0.00393,0.0155,0.0373,0.167,111.324,420267,4,2000
25,25,Project Pat,Red Rum,37bZ64civaeTetzlcovn5Z,44,0.736,0.733,7,-7.205,1,0.139,0.00321,0.0,0.0643,0.266,170.006,192800,4,2000
26,26,Bone Thugs-N-Harmony,Ecstasy,47PtjzvUWKucQUPQRV5IKP,47,0.733,0.64,10,-3.245,1,0.235,0.465,0.0,0.281,0.766,77.994,343600,4,2000
27,27,Cypress Hill,(Rap) Superstar (feat. Eminem & Noreaga),7ivM5ILtz3k5Z6sRjXu0v2,48,0.921,0.833,10,-5.741,0,0.305,0.0522,1.43e-06,0.106,0.329,94.231,293560,4,2000
28,28,Big Moe,Maan! (feat. E.S.G. & Big Pokey),2t14hckwDdy45OKVv957Tn,41,0.764,0.739,1,-8.534,1,0.553,0.0333,0.0,0.155,0.516,182.036,244440,4,2000
29,29,Bone Thugs-N-Harmony,"Resurrection (Paper, Paper)",48u1HrXNWbKLhcquhI8Pjx,48,0.751,0.571,6,-3.89,1,0.248,0.0885,0.0,0.115,0.723,77.59,313027,5,2000
30,30,Big Tymers,Project Bitch,7jeuO70ZhwRuGbfH1laugD,43,0.813,0.658,7,-7.12,0,0.465,0.0688,6.55e-06,0.0479,0.747,75.102,281240,4,2000
31,31,Limp Bizkit,Full Nelson,6YU556RBcA4js0poLlP8Cu,50,0.428,0.978,11,-3.199,1,0.137,0.0074,0.0256,0.458,0.439,97.59,247360,4,2000
32,32,E-40,"Nah, Nah... (feat. Nate Dogg)",0ytR1crCeDa016jH0xPa9o,40,0.83,0.82,1,-5.827,1,0.326,0.184,0.0,0.0777,0.742,99.958,221507,4,2000
33,33,The Presidents Of The United States Of America,Meanwhile Back in the City,24obGxQaI9mRyH6WCmaLeJ,45,0.587,0.813,6,-5.124,0,0.056,0.0678,0.000578,0.187,0.712,117.655,203333,4,2000
34,34,Limp Bizkit,It'll Be OK,5QYwIidpvmcqBWYx6hy8AT,49,0.529,0.887,6,-3.49,1,0.0271,0.0061,0.0677,0.0938,0.297,98.779,306227,4,2000
35,35,Big Moe,City Of Syrup (feat. Z-Ro & Tyte Eyez),0iqUHPYSODJxsCfUDuPtm5,37,0.893,0.438,9,-10.517,1,0.134,0.0232,0.0,0.605,0.423,104.451,261427,4,2000
36,36,DJ Quik,Do I Love Her? (feat. Suga Free) - Dirty Version/Club Mix,3N3bbZga5ifQWxnzCrm3m2,40,0.845,0.618,4,-6.516,0,0.308,0.0989,0.0,0.108,0.703,94.405,250040,4,2000
37,37,Limp Bizkit,The One,1qjuoKVHOMpGfHMzLpdGL7,48,0.576,0.78,11,-5.041,0,0.109,0.034,0.00341,0.07,0.343,98.259,343360,4,2000
38,38,Outkast,We Luv Deez Hoez (feat. Backbone & Big Gipp),4XaY6ZNB5BrmVVLtQxjWpm,40,0.913,0.601,1,-4.803,1,0.107,0.0372,0.000227,0.0806,0.79,89.97,250467,4,2000
39,39,Wu-Tang Clan,"I Can't Go to Sleep (feat. Ghostface Killah, RZA & Issac Hayes)",1VUZYA1krvrh7QO2Rpc1JV,42,0.418,0.575,5,-5.87,0,0.0729,0.429,0.0,0.138,0.698,137.83,215227,4,2000
40,40,Nas,Oochie Wally - Remix,0LAlDN9m1VodUMl6Ww1cm1,43,0.64,0.721,7,-6.955,1,0.322,0.0564,0.000842,0.774,0.714,93.346,297907,4,2000
41,41,Cypress Hill,Can't Get the Best of Me,4cmfwCjNRd7kOGlyM36pMw,45,0.631,0.879,1,-3.983,1,0.0671,0.0467,0.0,0.131,0.839,108.876,254907,4,2000
42,42,Big L,Platinum Plus (feat. Big Daddy Kane),2L6f9KUVUiMkN2peXfMRpL,41,0.633,0.648,10,-10.124,0,0.31,0.000945,0.0,0.0955,0.874,97.486,217813,4,2000
43,43,Outkast,Snappin' & Trappin' (feat. Killer Mike & J-Sweet),6C872iuQnICFQy5Z5hIIJX,38,0.574,0.922,1,-5.561,0,0.37,0.0154,0.0,0.267,0.432,194.082,259693,4,2000
44,44,Ghostface Killah,"Wu Banga 101 (feat. GZA, Cappadonna, Masta Killa & Raekwon)",1SCicirSD5cfxrnOnDuKPD,40,0.791,0.715,7,-7.363,1,0.371,0.196,0.0,0.0818,0.418,93.172,263200,4,2000
45,45,Bow Wow,Bow Wow (That's My Name) (feat. Snoop Dogg),5nwzfbcg8RPyZB72WwQBWA,38,0.92,0.677,2,-3.484,1,0.266,0.216,1.68e-06,0.0981,0.939,91.939,223267,4,2000
46,46,Yungstar,Knocking Pictures Off Da Wall (featuring Lil Flex) (feat. C-Nile & Solo-D),3cHxOOnaC6UjyMf8P4mpme,34,0.775,0.483,2,-8.356,1,0.307,0.139,0.0,0.174,0.39,85.079,199920,4,2000
47,47,Taproot,Again & Again,7aHluiddcgODmeZ2rW6dju,39,0.304,0.847,7,-5.045,1,0.0967,5.81e-05,0.269,0.0626,0.309,95.993,238213,4,2000
48,48,Wu-Tang Clan,"Hollow Bones (feat. Raekwon, Inspectah Deck & Ghostface Killah)",7cuzEQZQai37IcbvfCDoSR,39,0.448,0.631,6,-6.266,1,0.36,0.645,0.0,0.401,0.841,73.173,217333,4,2000
49,49,Wu-Tang Clan,"Careful (Click, Click) (feat. RZA, U-God, Masta Killa, Cappadonna, Ghostface Killah & Inspectah Deck)",7hUNOFpJNxK3EdryB5PqAJ,40,0.831,0.571,11,-5.648,1,0.303,0.0241,0.0,0.702,0.442,90.367,296427,4,2000
50,50,Outkast,I'll Call B4 I Cum (feat. Gangsta Boo & Eco),6F1nkRSfNUh3FcoSmuO4fu,37,0.895,0.578,1,-9.044,1,0.198,0.0621,8.89e-06,0.326,0.59,90.989,258440,4,2000
51,51,Ja Rule,I Cry,1CP0DS790dxOfCXXp7WHDP,38,0.634,0.551,10,-5.698,1,0.208,0.265,0.0,0.204,0.343,72.202,317733,4,2000
52,52,Outkast,"Gangsta Sh*t (feat. Slimm Calhoun, C-Bone & T-Mo)",2fk55YQGYhilLmXFaKWESM,36,0.873,0.798,11,-6.976,0,0.0503,0.00756,0.0,0.0812,0.333,123.72,281267,4,2000
53,53,Lil Wayne,Shine,0lyYVubxulG0uUPOVCQj0Z,36,0.782,0.939,7,-4.51,1,0.1,0.146,0.00586,0.307,0.749,96.02,304173,4,2000
54,54,JAY-Z,"You, Me, Him And Her",7tu5qaPBGFaqUfhrKUP6M7,34,0.737,0.93,11,-4.749,0,0.245,0.102,0.0,0.19,0.66,100.038,224507,4,2000
55,55,Wu-Tang Clan,"Do You Really (Thang Thang) (feat. DJ Kay Slay, Method Man, Streetlife, Masta Killa & Inspectah Deck)",69lShxfTqANIFzfLDkApco,39,0.783,0.595,1,-7.415,1,0.405,0.144,0.0,0.493,0.507,92.031,322040,4,2000
